equipment_id,plant,equipment_type,criticality,work_order_count,failure_count,maintenance_cost_eur,corrective_cost_eur,downtime_hours,mean_corrective_downtime_hours,last_maintenance_date
EQ-0168,SOUTH,Valve,A,2,2,3749.84,3749.84,29.39,14.7,2025-07-29
EQ-0155,EAST,Compressor,B,3,2,3619.41,3178.53,16.44,6.71,2025-09-15
EQ-0055,NORTH,Compressor,B,6,2,3531.62,2142.08,32.1,9.62,2025-10-14
EQ-0037,NORTH,Pump,C,4,2,3478.85,2718.36,41.28,18.11,2025-12-11
EQ-0013,NORTH,Pump,B,3,2,3345.66,2863.18,27.07,11.68,2025-12-03
EQ-0046,NORTH,Motor,B,4,2,3336.14,2707.52,21.23,8.94,2025-10-14
EQ-0056,EAST,Valve,B,6,2,3204.74,1560.13,47.4,19.64,2025-11-19
EQ-0077,EAST,Pump,A,8,1,6537.48,2672.22,30.94,15.57,2025-12-24
EQ-0106,NORTH,Motor,B,5,1,4811.57,3313.87,31.58,21.47,2025-10-07
EQ-0114,SOUTH,Motor,B,4,1,4679.74,2977.95,31.57,23.0,2025-09-29
EQ-0053,EAST,Pump,B,7,1,4673.85,2359.83,30.78,13.69,2025-10-28
EQ-0130,NORTH,Motor,B,5,1,4553.12,3039.09,19.06,10.63,2025-12-15
EQ-0159,SOUTH,Compressor,A,4,1,4509.44,3370.09,9.03,3.1,2025-08-31
EQ-0060,SOUTH,Valve,B,3,1,4176.08,3315.54,18.55,14.09,2025-12-10
EQ-0093,SOUTH,Pump,B,3,1,4157.69,3381.56,21.5,14.99,2025-10-17
EQ-0099,SOUTH,Compressor,B,3,1,4132.18,3025.75,13.43,9.98,2025-12-29
EQ-0134,EAST,Motor,B,4,1,4088.4,3221.88,17.3,7.69,2025-12-06
EQ-0142,NORTH,Motor,C,2,1,3981.48,3279.24,8.73,6.13,2025-12-28
EQ-0071,EAST,Compressor,B,6,1,3934.11,1577.67,24.72,9.08,2025-09-16
EQ-0034,NORTH,Motor,A,5,1,3911.62,1711.82,15.42,5.93,2025-11-03
EQ-0081,SOUTH,Pump,C,3,1,3851.03,3196.67,6.49,2.32,2025-08-24
EQ-0073,NORTH,Pump,A,3,1,3846.78,3391.69,27.7,22.43,2025-11-30
EQ-0140,EAST,Valve,B,3,1,3818.44,2887.89,17.65,13.63,2025-11-21
EQ-0082,NORTH,Motor,B,6,1,3813.6,1918.47,27.27,17.62,2025-11-14
EQ-0098,EAST,Motor,A,4,1,3788.7,2156.96,22.24,14.26,2025-12-27
EQ-0094,NORTH,Motor,B,3,1,3755.71,2317.85,26.98,23.05,2025-12-14
EQ-0076,NORTH,Valve,B,3,1,3745.32,2682.24,12.75,6.07,2025-07-10
EQ-0115,NORTH,Compressor,B,3,1,3711.02,3001.09,8.21,4.63,2025-09-20
EQ-0177,SOUTH,Pump,C,2,1,3625.24,3168.69,21.1,17.11,2025-09-22
EQ-0113,EAST,Pump,A,4,1,3537.61,1849.45,14.91,7.86,2025-11-19
EQ-0160,NORTH,Valve,C,6,1,3531.89,1060.3,18.26,8.53,2025-09-22
EQ-0117,SOUTH,Pump,C,4,1,3496.51,2383.3,25.39,19.62,2025-08-25
EQ-0102,SOUTH,Motor,B,3,1,3423.4,2396.72,20.61,17.98,2025-10-15
EQ-0103,NORTH,Compressor,B,2,1,3420.3,3155.65,7.26,5.69,2025-11-23
EQ-0176,EAST,Valve,B,5,1,3365.89,1945.23,33.25,23.74,2025-11-17
EQ-0107,EAST,Compressor,B,2,1,3278.12,2896.26,19.19,16.98,2025-12-03
EQ-0121,NORTH,Pump,C,6,1,3182.86,1673.05,22.87,12.63,2025-08-27
EQ-0132,SOUTH,Valve,C,2,1,3137.32,2531.25,25.08,22.03,2025-10-05
EQ-0126,SOUTH,Motor,B,2,1,3125.67,3011.47,21.17,18.53,2025-07-06
EQ-0174,SOUTH,Motor,A,2,1,3059.49,2713.84,10.73,7.55,2025-05-21
EQ-0135,SOUTH,Compressor,B,3,1,2970.72,2342.35,26.79,20.99,2025-10-11
EQ-0016,NORTH,Valve,C,4,1,2882.98,1570.07,12.24,5.49,2025-10-21
EQ-0170,EAST,Motor,B,4,1,2782.1,871.07,13.9,9.65,2025-06-13
EQ-0129,SOUTH,Pump,B,1,1,2738.22,2738.22,3.84,3.84,2025-06-06
EQ-0116,EAST,Valve,A,2,1,2706.96,2411.51,13.57,11.33,2025-10-14
EQ-0079,NORTH,Compressor,B,5,1,2700.56,1046.88,29.26,22.7,2025-09-01
EQ-0149,EAST,Pump,B,2,1,2691.8,2129.7,15.6,13.42,2025-06-12
EQ-0044,EAST,Valve,A,3,1,2662.3,2291.91,17.25,11.78,2025-11-16
EQ-0011,EAST,Compressor,B,2,1,2662.18,2209.97,11.67,10.77,2025-11-05
EQ-0161,EAST,Pump,B,2,1,2657.36,2493.74,11.99,10.67,2025-10-13
EQ-0019,NORTH,Compressor,C,3,1,2651.24,2266.76,9.99,5.34,2025-11-08
EQ-0015,SOUTH,Compressor,C,2,1,2646.09,2082.69,22.78,19.89,2025-09-28
EQ-0064,NORTH,Valve,C,3,1,2532.02,1553.08,30.29,23.92,2025-12-24
EQ-0078,SOUTH,Motor,B,2,1,2479.8,1735.25,8.03,6.03,2025-11-22
EQ-0111,SOUTH,Compressor,C,4,1,2451.22,1098.16,7.0,2.16,2025-12-27
EQ-0144,SOUTH,Valve,B,2,1,2449.55,1818.81,18.81,17.22,2025-08-18
EQ-0123,SOUTH,Compressor,A,1,1,2396.35,2396.35,19.8,19.8,2025-06-24
EQ-0048,SOUTH,Valve,A,3,1,2392.56,1051.48,13.5,6.45,2025-04-16
EQ-0086,EAST,Motor,C,1,1,2353.16,2353.16,17.55,17.55,2025-06-05
EQ-0118,NORTH,Motor,A,4,1,2155.01,729.01,19.89,10.77,2025-11-20
EQ-0163,NORTH,Compressor,A,4,1,2116.68,890.1,14.3,4.68,2025-08-30
EQ-0039,SOUTH,Compressor,B,2,1,2046.86,1449.39,14.67,11.23,2025-03-24
EQ-0119,EAST,Compressor,C,1,1,2041.67,2041.67,15.4,15.4,2025-11-05
EQ-0018,SOUTH,Motor,C,2,1,2037.22,1609.91,26.94,23.44,2025-05-15
EQ-0090,SOUTH,Motor,B,1,1,1785.56,1785.56,16.88,16.88,2025-05-20
EQ-0143,EAST,Compressor,B,3,1,1776.93,657.47,26.13,22.24,2025-09-25
EQ-0148,NORTH,Valve,B,4,1,1729.68,889.13,26.18,19.93,2025-11-04
EQ-0080,EAST,Valve,B,3,1,1718.68,636.57,27.43,23.17,2025-08-31
EQ-0138,SOUTH,Motor,B,4,1,1686.97,923.56,13.92,10.97,2025-06-23
EQ-0043,NORTH,Compressor,B,2,1,1523.1,1227.92,13.16,10.13,2025-04-20
EQ-0122,EAST,Motor,B,2,1,1481.74,845.53,7.71,4.8,2025-07-16
EQ-0035,EAST,Compressor,B,1,1,1452.99,1452.99,19.95,19.95,2025-04-19
EQ-0169,NORTH,Pump,C,2,1,1264.04,963.86,11.29,10.71,2025-09-22
EQ-0125,EAST,Pump,C,2,1,1079.57,875.91,25.49,23.75,2025-08-23
EQ-0120,SOUTH,Valve,B,6,0,3157.48,0.0,10.29,,2025-10-23
EQ-0100,NORTH,Valve,A,6,0,3145.05,0.0,14.24,,2025-12-22
EQ-0173,EAST,Pump,A,6,0,2935.43,0.0,11.84,,2025-10-23
EQ-0075,SOUTH,Compressor,B,5,0,2413.77,0.0,8.86,,2025-11-29
EQ-0069,SOUTH,Pump,A,4,0,2243.25,0.0,9.0,,2025-12-04
EQ-0104,EAST,Valve,A,4,0,2141.58,0.0,9.63,,2025-11-30
EQ-0026,EAST,Motor,C,5,0,1856.69,0.0,12.27,,2025-11-20
EQ-0001,NORTH,Pump,B,4,0,1806.25,0.0,8.17,,2025-10-11
EQ-0141,SOUTH,Pump,B,5,0,1788.01,0.0,14.27,,2025-07-05
EQ-0049,NORTH,Pump,C,4,0,1710.71,0.0,11.27,,2025-12-18
EQ-0010,NORTH,Motor,C,3,0,1664.72,0.0,10.25,,2025-11-11
EQ-0112,NORTH,Valve,B,3,0,1588.21,0.0,6.29,,2025-11-17
EQ-0146,EAST,Motor,B,4,0,1587.66,0.0,7.24,,2025-12-04
EQ-0166,NORTH,Motor,B,4,0,1576.74,0.0,7.25,,2025-10-20
EQ-0150,SOUTH,Motor,A,4,0,1554.53,0.0,9.45,,2025-08-09
EQ-0154,NORTH,Motor,C,3,0,1552.41,0.0,8.4,,2025-09-11
EQ-0050,EAST,Motor,B,3,0,1548.59,0.0,5.15,,2025-12-12
EQ-0070,NORTH,Motor,B,3,0,1331.76,0.0,3.0,,2025-09-27
EQ-0002,EAST,Motor,B,3,0,1311.2,0.0,9.75,,2025-09-22
EQ-0004,NORTH,Valve,A,3,0,1266.76,0.0,6.58,,2025-10-10
EQ-0137,EAST,Pump,C,2,0,1266.59,0.0,5.03,,2025-12-03
EQ-0162,SOUTH,Motor,A,3,0,1265.62,0.0,8.01,,2025-11-10
EQ-0008,EAST,Valve,A,3,0,1178.38,0.0,5.71,,2025-08-24
EQ-0052,NORTH,Valve,B,4,0,1157.52,0.0,9.03,,2025-08-14
EQ-0101,EAST,Pump,B,2,0,1157.14,0.0,3.79,,2025-12-16
EQ-0108,SOUTH,Valve,B,2,0,1083.12,0.0,4.39,,2025-11-07
EQ-0057,SOUTH,Pump,B,2,0,1066.24,0.0,4.0,,2025-10-16
EQ-0072,SOUTH,Valve,A,3,0,1063.75,0.0,6.64,,2025-12-29
EQ-0133,NORTH,Pump,C,2,0,1050.96,0.0,3.84,,2025-03-13
EQ-0058,NORTH,Motor,A,2,0,1045.25,0.0,3.4,,2025-11-04
EQ-0047,EAST,Compressor,B,2,0,1034.53,0.0,3.4,,2025-02-05
EQ-0009,SOUTH,Pump,C,2,0,1028.92,0.0,4.97,,2025-10-23
EQ-0092,EAST,Valve,C,2,0,990.88,0.0,2.31,,2025-07-05
EQ-0152,EAST,Valve,C,3,0,978.61,0.0,6.69,,2025-09-16
EQ-0045,SOUTH,Pump,C,2,0,964.83,0.0,3.38,,2025-10-24
EQ-0158,EAST,Motor,B,2,0,939.74,0.0,3.01,,2025-02-03
EQ-0136,NORTH,Valve,C,3,0,919.84,0.0,6.59,,2025-06-20
EQ-0042,SOUTH,Motor,C,2,0,787.69,0.0,4.36,,2025-11-27
EQ-0172,NORTH,Valve,B,1,0,740.94,0.0,1.62,,2025-10-16
EQ-0157,NORTH,Pump,C,1,0,586.74,0.0,3.46,,2025-08-25
EQ-0012,SOUTH,Valve,B,2,0,578.74,0.0,5.82,,2025-10-25
EQ-0024,SOUTH,Valve,B,2,0,569.78,0.0,6.82,,2025-05-24
EQ-0145,NORTH,Pump,A,2,0,562.53,0.0,4.13,,2025-10-27
EQ-0180,SOUTH,Valve,C,1,0,550.53,0.0,1.81,,2025-10-01
EQ-0128,EAST,Valve,A,1,0,516.37,0.0,2.81,,2025-08-14
EQ-0065,EAST,Pump,B,1,0,358.63,0.0,2.2,,2025-07-11
EQ-0033,SOUTH,Pump,C,1,0,249.35,0.0,3.77,,2025-06-18
EQ-0153,SOUTH,Pump,C,1,0,216.06,0.0,1.97,,2025-07-27
EQ-0025,NORTH,Pump,A,1,0,214.47,0.0,3.32,,2025-07-13
EQ-0059,EAST,Compressor,B,1,0,179.84,0.0,2.39,,2025-04-01
EQ-0023,EAST,Compressor,B,1,0,128.52,0.0,0.69,,2025-02-27
EQ-0036,SOUTH,Valve,B,0,0,0.0,0.0,0.0,,
EQ-0041,EAST,Pump,B,0,0,0.0,0.0,0.0,,
EQ-0054,SOUTH,Motor,B,0,0,0.0,0.0,0.0,,
EQ-0061,NORTH,Pump,C,0,0,0.0,0.0,0.0,,
EQ-0089,EAST,Pump,A,0,0,0.0,0.0,0.0,,
EQ-0097,NORTH,Pump,B,0,0,0.0,0.0,0.0,,
EQ-0147,SOUTH,Compressor,B,0,0,0.0,0.0,0.0,,
EQ-0151,NORTH,Compressor,B,0,0,0.0,0.0,0.0,,
EQ-0175,NORTH,Compressor,B,0,0,0.0,0.0,0.0,,
EQ-0178,NORTH,Motor,A,0,0,0.0,0.0,0.0,,
