table_name,source_row,record_key,rule,severity,disposition,detail
assets,A0189,,invalid_equipment_id,error,quarantined,A stable EQ-0000 key is required; do not infer identity.
work_orders,W0139,WO-00139,orphan_equipment_id,error,quarantined,Asset is absent from accepted master; event excluded from KPIs.
work_orders,W0218,WO-00218,orphan_equipment_id,error,quarantined,Asset is absent from accepted master; event excluded from KPIs.
work_orders,W0251,WO-00251,orphan_equipment_id,error,quarantined,Asset is absent from accepted master; event excluded from KPIs.
work_orders,W0260,WO-00260,orphan_equipment_id,error,quarantined,Asset is absent from accepted master; event excluded from KPIs.
work_orders,W0262,WO-00262,orphan_equipment_id,error,quarantined,Asset is absent from accepted master; event excluded from KPIs.
work_orders,W0322,WO-00322,orphan_equipment_id,error,quarantined,Asset is absent from accepted master; event excluded from KPIs.
work_orders,W0368,WO-00368,orphan_equipment_id,error,quarantined,Asset is absent from accepted master; event excluded from KPIs.
work_orders,W0384,WO-00384,orphan_equipment_id,error,quarantined,Asset is absent from accepted master; event excluded from KPIs.
work_orders,W0417,WO-00417,orphan_equipment_id,error,quarantined,Asset is absent from accepted master; event excluded from KPIs.
work_orders,W0491,WO-00491,orphan_equipment_id,error,quarantined,Asset is absent from accepted master; event excluded from KPIs.
work_orders,W0516,WO-00516,orphan_equipment_id,error,quarantined,Asset is absent from accepted master; event excluded from KPIs.
work_orders,W0535,WO-00535,orphan_equipment_id,error,quarantined,Asset is absent from accepted master; event excluded from KPIs.
work_orders,W0577,WO-00577,orphan_equipment_id,error,quarantined,Asset is absent from accepted master; event excluded from KPIs.
work_orders,W0601,WO-00601,invalid_cost_eur,error,quarantined,Value must be finite and nonnegative.
work_orders,W0602,WO-00602,invalid_maintenance_date,error,quarantined,A valid date in the 2025 reporting window is required.
work_orders,W0603,WO-00603,orphan_equipment_id,error,quarantined,Asset is absent from accepted master; event excluded from KPIs.
work_orders,W0604,WO-00604,invalid_failure_flag,error,quarantined,This scenario defines one failure per corrective event and none per planned event.
