source_row,work_order_id,equipment_id,maintenance_date,maintenance_type,cost_eur,downtime_hours,failure_flag
W0029,WO-00029,EQ-0141,2025-07-05,Planned,324.18,3.96,0
W0030,WO-00030,EQ-0056,2025-08-25,Corrective,814.22,22.18,1
W0031,WO-00031,EQ-0018,2025-05-15,Planned,427.31,3.50,0
W0032,WO-00032,EQ-0163,2025-08-30,Planned,452.95,3.03,0
W0033,WO-00033,EQ-0011,2025-11-05,Corrective,2209.97,10.77,1
W0034,WO-00034,EQ-0014,2025-07-11,Corrective,3234.94,19.81,1
W0035,WO-00035,EQ-0038,2025-02-07,Planned,431.03,2.40,0
W0036,WO-00036,EQ-0082,2025-11-07,Planned,648.56,2.60,0
W0037,WO-00037,EQ-0083,2025-01-14,Corrective,1805.86,17.49,1
W0038,WO-00038,EQ-0160,2025-09-22,Planned,749.78,3.41,0
W0039,WO-00039,EQ-0114,2025-01-18,Planned,728.98,3.32,0
W0040,WO-00040,EQ-0150,2025-02-09,Planned,276.49,2.46,0
W0041,WO-00041,EQ-0137,2025-11-21,Planned,749.46,3.28,0
W0042,WO-00042,EQ-0007,2025-12-27,Corrective,2997.73,21.20,1
W0043,WO-00043,EQ-0075,2025-07-17,Planned,602.60,0.89,0
W0044,WO-00044,EQ-0056,2025-07-26,Planned,721.42,1.95,0
W0045,WO-00045,EQ-0083,2025-11-14,Planned,639.28,0.80,0
W0046,WO-00046,EQ-0100,2025-06-30,Planned,211.30,3.52,0
W0047,WO-00047,EQ-0179,2025-01-09,Corrective,2045.01,21.62,1
W0048,WO-00048,EQ-0004,2025-03-06,Planned,294.61,1.98,0
W0049,WO-00049,EQ-0073,2025-11-30,Corrective,3391.69,22.43,1
W0050,WO-00050,EQ-0168,2025-05-03,Corrective,1318.55,5.77,1
W0051,WO-00051,EQ-0017,2025-10-29,Planned,658.10,3.36,0
W0052,WO-00052,EQ-0067,2025-04-24,Corrective,2533.95,11.10,1
W0053,WO-00053,EQ-0076,2025-01-20,Planned,382.68,2.75,0
W0054,WO-00054,EQ-0127,2025-12-30,Corrective,1665.82,19.36,1
W0055,WO-00055,EQ-0117,2025-03-16,Planned,670.40,1.99,0
W0056,WO-00056,EQ-0122,2025-02-19,Planned,636.21,2.91,0
W0057,WO-00057,EQ-0176,2025-09-27,Planned,554.76,3.06,0
W0058,WO-00058,EQ-0134,2025-03-15,Planned,206.08,3.17,0
W0059,WO-00059,EQ-0008,2025-04-26,Planned,309.87,3.65,0
W0060,WO-00060,EQ-0037,2025-12-11,Planned,290.80,2.09,0
W0061,WO-00061,EQ-0126,2025-07-06,Corrective,3011.47,18.53,1
W0062,WO-00062,EQ-0170,2025-06-13,Corrective,871.07,9.65,1
W0063,WO-00063,EQ-0051,2025-04-08,Corrective,3231.85,20.69,1
W0064,WO-00064,EQ-0115,2025-01-18,Corrective,3001.09,4.63,1
W0065,WO-00065,EQ-0120,2025-05-04,Planned,484.77,0.57,0
W0066,WO-00066,EQ-0063,2025-12-01,Corrective,3233.26,3.34,1
W0067,WO-00067,EQ-0085,2025-12-23,Planned,714.81,2.87,0
W0068,WO-00068,EQ-0094,2025-09-17,Corrective,2317.85,23.05,1
W0069,WO-00069,EQ-0038,2025-01-26,Corrective,1448.95,7.04,1
W0070,WO-00070,EQ-0156,2025-10-01,Corrective,2878.57,13.77,1
W0071,WO-00071,EQ-0176,2025-03-18,Planned,297.01,2.39,0
W0072,WO-00072,EQ-0052,2025-03-19,Planned,244.97,0.51,0
W0073,WO-00073,EQ-0016,2025-05-02,Planned,297.94,2.64,0
W0074,WO-00074,EQ-0022,2025-10-05,Planned,446.49,1.84,0
W0075,WO-00075,EQ-0080,2025-04-23,Planned,709.17,2.31,0
W0076,WO-00076,EQ-0138,2025-06-23,Planned,324.38,0.79,0
W0077,WO-00077,EQ-0171,2025-06-14,Corrective,2336.75,6.59,1
W0078,WO-00078,EQ-0020,2025-07-06,Planned,411.84,3.49,0
W0079,WO-00079,EQ-0170,2025-03-30,Planned,721.45,2.84,0
W0080,WO-00080,EQ-0163,2025-02-23,Planned,587.58,2.90,0
W0081,WO-00081,EQ-0120,2025-07-04,Planned,366.44,1.75,0
W0082,WO-00082,EQ-0132,2025-10-05,Corrective,2531.25,22.03,1
W0083,WO-00083,EQ-0177,2025-09-22,Corrective,3168.69,17.11,1
W0084,WO-00084,EQ-0024,2025-03-19,Planned,445.04,3.37,0
W0085,WO-00085,EQ-0007,2025-01-07,Corrective,3209.35,18.18,1
W0086,WO-00086,EQ-0148,2025-05-01,Planned,490.62,2.05,0
W0087,WO-00087,EQ-0059,2025-04-01,Planned,179.84,2.39,0
W0088,WO-00088,EQ-0100,2025-06-04,Planned,506.87,2.70,0
W0089,WO-00089,EQ-0044,2025-10-31,Planned,187.44,1.86,0
W0090,WO-00090,EQ-0102,2025-10-15,Planned,291.21,1.08,0
W0091,WO-00091,EQ-0001,2025-04-12,Planned,439.15,2.08,0
W0092,WO-00092,EQ-0062,2025-11-16,Corrective,3091.11,16.64,1
W0093,WO-00093,EQ-0132,2025-02-01,Planned,606.07,3.05,0
W0094,WO-00094,EQ-0063,2025-02-02,Corrective,3248.15,17.94,1
W0095,WO-00095,EQ-0142,2025-01-19,Planned,702.24,2.60,0
W0096,WO-00096,EQ-0159,2025-03-07,Planned,172.31,1.44,0
W0097,WO-00097,EQ-0002,2025-05-12,Planned,749.18,3.63,0
W0098,WO-00098,EQ-0001,2025-05-29,Planned,736.71,3.85,0
W0099,WO-00099,EQ-0099,2025-07-02,Corrective,3025.75,9.98,1
W0100,WO-00100,EQ-0148,2025-11-04,Planned,167.45,1.93,0
W0101,WO-00101,EQ-0152,2025-03-06,Planned,211.93,2.13,0
W0102,WO-00102,EQ-0034,2025-03-06,Planned,537.98,2.43,0
W0103,WO-00103,EQ-0003,2025-08-30,Planned,536.97,0.58,0
W0104,WO-00104,EQ-0038,2025-11-07,Planned,469.15,3.29,0
W0105,WO-00105,EQ-0127,2025-12-12,Planned,205.84,0.72,0
W0106,WO-00106,EQ-0053,2025-09-11,Planned,103.26,3.91,0
W0107,WO-00107,EQ-0082,2025-11-14,Planned,134.62,1.56,0
W0108,WO-00108,EQ-0038,2025-07-13,Planned,243.81,2.27,0
W0109,WO-00109,EQ-0044,2025-05-21,Corrective,2291.91,11.78,1
W0110,WO-00110,EQ-0058,2025-10-14,Planned,736.08,1.40,0
W0111,WO-00111,EQ-0112,2025-11-17,Planned,696.18,0.63,0
W0112,WO-00112,EQ-0148,2025-07-14,Corrective,889.13,19.93,1
W0113,WO-00113,EQ-0046,2025-01-12,Planned,320.75,1.89,0
W0114,WO-00114,EQ-0137,2025-12-03,Planned,517.13,1.75,0
W0115,WO-00115,EQ-0084,2025-07-01,Corrective,2237.23,7.76,1
W0116,WO-00116,EQ-0078,2025-11-22,Corrective,1735.25,6.03,1
W0117,WO-00117,EQ-0146,2025-07-22,Planned,223.79,1.68,0
W0118,WO-00118,EQ-0079,2025-07-26,Corrective,1046.88,22.70,1
W0119,WO-00119,EQ-0098,2025-02-05,Corrective,2156.96,14.26,1
W0120,WO-00120,EQ-0138,2025-05-07,Planned,145.65,1.21,0
W0121,WO-00121,EQ-0091,2025-05-18,Corrective,2234.48,19.36,1
W0122,WO-00122,EQ-0053,2025-10-28,Planned,573.87,2.10,0
W0123,WO-00123,EQ-0127,2025-01-23,Planned,637.47,0.76,0
W0124,WO-00124,EQ-0160,2025-07-15,Planned,269.83,1.14,0
W0125,WO-00125,EQ-0165,2025-11-30,Corrective,1827.29,15.22,1
W0126,WO-00126,EQ-0014,2025-09-16,Planned,370.93,3.64,0
W0127,WO-00127,EQ-0174,2025-02-25,Planned,345.65,3.18,0
W0128,WO-00128,EQ-0159,2025-08-31,Planned,735.66,3.49,0
W0129,WO-00129,EQ-0018,2025-01-17,Corrective,1609.91,23.44,1
W0130,WO-00130,EQ-0096,2025-06-22,Corrective,3012.51,4.40,1
W0131,WO-00131,EQ-0127,2025-01-16,Planned,363.59,1.81,0
W0132,WO-00132,EQ-0051,2025-06-03,Corrective,2817.16,23.23,1
W0133,WO-00133,EQ-0048,2025-02-21,Planned,607.30,3.22,0
W0134,WO-00134,EQ-0109,2025-07-20,Corrective,3133.58,18.80,1
W0135,WO-00135,EQ-0085,2025-04-02,Planned,736.74,3.78,0
W0136,WO-00136,EQ-0094,2025-01-15,Planned,710.76,1.73,0
W0137,WO-00137,EQ-0105,2025-11-20,Corrective,1165.62,20.22,1
W0138,WO-00138,EQ-0163,2025-06-16,Planned,186.05,3.69,0
W0139,WO-00139,EQ-0031,2025-05-24,Planned,618.45,2.38,0
W0140,WO-00140,EQ-0125,2025-06-08,Corrective,875.91,23.75,1
W0141,WO-00141,EQ-0148,2025-06-26,Planned,182.48,2.27,0
W0142,WO-00142,EQ-0150,2025-08-09,Planned,731.94,2.60,0
W0143,WO-00143,EQ-0015,2025-09-28,Corrective,2082.69,19.89,1
W0144,WO-00144,EQ-0081,2025-05-15,Planned,405.71,3.42,0
W0145,WO-00145,EQ-0106,2025-01-23,Planned,386.49,2.34,0
W0146,WO-00146,EQ-0022,2025-03-08,Corrective,1407.85,20.65,1
W0147,WO-00147,EQ-0013,2025-12-03,Corrective,1179.43,12.87,1
W0148,WO-00148,EQ-0010,2025-03-06,Planned,681.42,2.61,0
W0149,WO-00149,EQ-0141,2025-05-08,Planned,254.51,3.70,0
W0150,WO-00150,EQ-0130,2025-12-15,Planned,665.48,2.87,0
W0151,WO-00151,EQ-0068,2025-12-26,Corrective,1009.72,10.94,1
W0152,WO-00152,EQ-0044,2025-11-16,Planned,182.95,3.61,0
W0153,WO-00153,EQ-0022,2025-03-26,Corrective,3219.59,4.58,1
W0154,WO-00154,EQ-0173,2025-03-24,Planned,677.46,3.78,0
W0155,WO-00155,EQ-0139,2025-12-05,Planned,310.76,1.01,0
W0156,WO-00156,EQ-0133,2025-01-13,Planned,584.67,1.61,0
W0157,WO-00157,EQ-0077,2025-01-05,Planned,724.20,1.44,0
W0158,WO-00158,EQ-0158,2025-02-03,Planned,202.22,1.34,0
W0159,WO-00159,EQ-0140,2025-06-26,Planned,213.12,0.54,0
W0160,WO-00160,EQ-0135,2025-09-05,Planned,124.63,3.26,0
W0161,WO-00161,EQ-0139,2025-09-18,Corrective,1792.88,2.02,1
W0162,WO-00162,EQ-0030,2025-04-04,Planned,737.92,2.76,0
W0163,WO-00163,EQ-0082,2025-02-21,Planned,267.03,1.66,0
W0164,WO-00164,EQ-0139,2025-10-29,Planned,724.37,3.43,0
W0165,WO-00165,EQ-0021,2025-11-07,Planned,351.26,2.60,0
W0166,WO-00166,EQ-0118,2025-09-17,Corrective,729.01,10.77,1
W0167,WO-00167,EQ-0053,2025-01-01,Planned,378.23,3.22,0
W0168,WO-00168,EQ-0124,2025-03-24,Planned,737.88,1.52,0
W0169,WO-00169,EQ-0071,2025-05-22,Planned,308.09,1.67,0
W0170,WO-00170,EQ-0171,2025-01-27,Planned,734.21,3.58,0
W0171,WO-00171,EQ-0074,2025-06-12,Planned,447.00,3.53,0
W0172,WO-00172,EQ-0176,2025-06-28,Planned,270.43,2.30,0
W0173,WO-00173,EQ-0171,2025-04-29,Corrective,3071.96,2.16,1
W0174,WO-00174,EQ-0070,2025-06-19,Planned,198.00,1.31,0
W0175,WO-00175,EQ-0053,2025-07-12,Corrective,2359.83,13.69,1
W0176,WO-00176,EQ-0166,2025-10-20,Planned,256.94,1.01,0
W0177,WO-00177,EQ-0028,2025-10-13,Corrective,1368.45,11.90,1
W0178,WO-00178,EQ-0051,2025-11-01,Corrective,2024.56,4.27,1
W0179,WO-00179,EQ-0048,2025-04-16,Corrective,1051.48,6.45,1
W0180,WO-00180,EQ-0129,2025-06-06,Corrective,2738.22,3.84,1
W0181,WO-00181,EQ-0020,2025-05-01,Corrective,1546.15,7.15,1
W0182,WO-00182,EQ-0050,2025-08-03,Planned,746.57,1.66,0
W0183,WO-00183,EQ-0040,2025-01-05,Corrective,891.45,13.30,1
W0184,WO-00184,EQ-0106,2025-10-07,Planned,324.40,1.49,0
W0185,WO-00185,EQ-0163,2025-05-26,Corrective,890.10,4.68,1
W0186,WO-00186,EQ-0056,2025-11-19,Planned,112.21,2.01,0
W0187,WO-00187,EQ-0133,2025-03-13,Planned,466.29,2.23,0
W0188,WO-00188,EQ-0160,2025-05-15,Corrective,1060.30,8.53,1
W0189,WO-00189,EQ-0038,2025-10-04,Planned,286.54,1.00,0
W0190,WO-00190,EQ-0057,2025-10-16,Planned,645.27,1.23,0
W0191,WO-00191,EQ-0076,2025-07-10,Corrective,2682.24,6.07,1
W0192,WO-00192,EQ-0101,2025-12-16,Planned,586.50,2.13,0
W0193,WO-00193,EQ-0084,2025-01-27,Planned,244.62,1.56,0
W0194,WO-00194,EQ-0093,2025-06-04,Corrective,3381.56,14.99,1
W0195,WO-00195,EQ-0040,2025-03-07,Planned,225.18,2.36,0
W0196,WO-00196,EQ-0055,2025-03-26,Corrective,1441.35,13.32,1
W0197,WO-00197,EQ-0095,2025-01-12,Corrective,2706.45,14.42,1
W0198,WO-00198,EQ-0136,2025-06-20,Planned,418.45,1.97,0
W0199,WO-00199,EQ-0081,2025-08-24,Corrective,3196.67,2.32,1
W0200,WO-00200,EQ-0143,2025-09-25,Planned,525.91,2.50,0
W0201,WO-00201,EQ-0088,2025-10-20,Corrective,1538.74,11.23,1
W0202,WO-00202,EQ-0042,2025-11-27,Planned,269.84,1.62,0
W0203,WO-00203,EQ-0003,2025-03-18,Corrective,1581.24,4.82,1
W0204,WO-00204,EQ-0160,2025-06-23,Planned,247.94,1.34,0
W0205,WO-00205,EQ-0146,2025-12-04,Planned,446.93,1.42,0
W0206,WO-00206,EQ-0130,2025-05-30,Corrective,3039.09,10.63,1
W0207,WO-00207,EQ-0047,2025-02-05,Planned,585.97,1.16,0
W0208,WO-00208,EQ-0068,2025-04-22,Corrective,2918.04,22.09,1
W0209,WO-00209,EQ-0029,2025-07-07,Corrective,1121.38,13.49,1
W0210,WO-00210,EQ-0056,2025-02-10,Planned,480.78,3.31,0
W0211,WO-00211,EQ-0074,2025-06-22,Planned,551.82,0.72,0
W0212,WO-00212,EQ-0069,2025-07-22,Planned,478.28,3.71,0
W0213,WO-00213,EQ-0152,2025-07-27,Planned,640.88,3.16,0
W0214,WO-00214,EQ-0087,2025-12-08,Planned,431.48,3.89,0
W0215,WO-00215,EQ-0139,2025-08-02,Planned,456.44,1.50,0
W0216,WO-00216,EQ-0030,2025-10-22,Planned,300.16,2.82,0
W0217,WO-00217,EQ-0171,2025-11-15,Corrective,2764.12,6.43,1
W0218,WO-00218,EQ-0006,2025-12-13,Planned,559.71,2.61,0
W0219,WO-00219,EQ-0088,2025-09-01,Planned,332.52,2.67,0
W0220,WO-00220,EQ-0127,2025-11-07,Planned,555.35,2.96,0
W0221,WO-00221,EQ-0047,2025-01-02,Planned,448.56,2.24,0
W0222,WO-00222,EQ-0121,2025-08-27,Planned,155.39,2.22,0
W0223,WO-00223,EQ-0118,2025-11-20,Planned,564.62,2.88,0
W0224,WO-00224,EQ-0116,2025-10-14,Planned,295.45,2.24,0
W0225,WO-00225,EQ-0153,2025-07-27,Planned,216.06,1.97,0
W0226,WO-00226,EQ-0155,2025-09-15,Planned,440.88,3.03,0
W0227,WO-00227,EQ-0112,2025-08-29,Planned,728.70,2.81,0
W0228,WO-00228,EQ-0088,2025-05-05,Corrective,2467.76,2.52,1
W0229,WO-00229,EQ-0079,2025-04-26,Planned,487.38,0.68,0
W0230,WO-00230,EQ-0087,2025-10-04,Corrective,3041.80,10.75,1
W0231,WO-00231,EQ-0066,2025-07-16,Corrective,2760.97,9.77,1
W0232,WO-00232,EQ-0090,2025-05-20,Corrective,1785.56,16.88,1
W0233,WO-00233,EQ-0087,2025-12-02,Corrective,1913.50,13.58,1
W0234,WO-00234,EQ-0029,2025-05-09,Corrective,1874.85,8.64,1
W0235,WO-00235,EQ-0130,2025-03-25,Planned,123.86,2.36,0
W0236,WO-00236,EQ-0074,2025-05-23,Planned,482.06,2.71,0
W0237,WO-00237,EQ-0135,2025-10-11,Planned,503.74,2.54,0
W0238,WO-00238,EQ-0084,2025-08-21,Planned,500.95,2.22,0
W0239,WO-00239,EQ-0162,2025-11-10,Planned,639.27,3.35,0
W0240,WO-00240,EQ-0085,2025-09-20,Planned,412.21,2.61,0
W0241,WO-00241,EQ-0052,2025-07-23,Planned,222.07,1.98,0
W0242,WO-00242,EQ-0027,2025-04-29,Corrective,1328.96,3.19,1
W0243,WO-00243,EQ-0154,2025-09-11,Planned,526.16,1.62,0
W0244,WO-00244,EQ-0113,2025-06-10,Planned,525.84,1.60,0
W0245,WO-00245,EQ-0043,2025-03-16,Planned,295.18,3.03,0
W0246,WO-00246,EQ-0057,2025-01-30,Planned,420.97,2.77,0
W0247,WO-00247,EQ-0071,2025-01-14,Planned,310.80,3.36,0
W0248,WO-00248,EQ-0100,2025-05-30,Planned,367.12,1.79,0
W0249,WO-00249,EQ-0123,2025-06-24,Corrective,2396.35,19.80,1
W0250,WO-00250,EQ-0121,2025-02-13,Planned,343.67,1.94,0
W0251,WO-00251,EQ-0031,2025-06-09,Planned,372.61,1.08,0
W0252,WO-00252,EQ-0107,2025-11-06,Planned,381.86,2.21,0
W0253,WO-00253,EQ-0046,2025-10-14,Corrective,1477.96,12.40,1
W0254,WO-00254,EQ-0179,2025-10-03,Corrective,2748.23,7.65,1
W0255,WO-00255,EQ-0162,2025-08-23,Planned,276.73,3.88,0
W0256,WO-00256,EQ-0149,2025-05-11,Corrective,2129.70,13.42,1
W0257,WO-00257,EQ-0171,2025-10-24,Planned,390.97,2.36,0
W0258,WO-00258,EQ-0136,2025-03-21,Planned,372.15,1.32,0
W0259,WO-00259,EQ-0116,2025-01-30,Corrective,2411.51,11.33,1
W0260,WO-00260,EQ-0006,2025-09-19,Planned,350.27,1.37,0
W0261,WO-00261,EQ-0003,2025-12-05,Corrective,1397.81,7.23,1
W0262,WO-00262,EQ-0032,2025-09-25,Corrective,2110.39,18.11,1
W0263,WO-00263,EQ-0139,2025-02-18,Corrective,1411.25,9.27,1
W0264,WO-00264,EQ-0124,2025-06-29,Planned,314.70,0.81,0
W0265,WO-00265,EQ-0127,2025-11-29,Planned,726.11,1.37,0
W0266,WO-00266,EQ-0055,2025-06-14,Planned,105.28,3.10,0
W0267,WO-00267,EQ-0096,2025-10-03,Planned,711.05,0.82,0
W0268,WO-00268,EQ-0013,2025-04-29,Corrective,1683.75,10.48,1
W0269,WO-00269,EQ-0010,2025-09-16,Planned,399.91,4.00,0
W0270,WO-00270,EQ-0085,2025-09-27,Corrective,2680.61,7.09,1
W0271,WO-00271,EQ-0010,2025-11-11,Planned,583.39,3.64,0
W0272,WO-00272,EQ-0104,2025-03-01,Planned,313.43,1.66,0
W0273,WO-00273,EQ-0050,2025-10-11,Planned,412.69,1.07,0
W0274,WO-00274,EQ-0121,2025-08-20,Corrective,1673.05,12.63,1
W0275,WO-00275,EQ-0173,2025-03-08,Planned,329.70,1.49,0
W0276,WO-00276,EQ-0124,2025-09-07,Planned,124.98,2.18,0
W0277,WO-00277,EQ-0144,2025-08-18,Corrective,1818.81,17.22,1
W0278,WO-00278,EQ-0049,2025-03-14,Planned,201.41,2.29,0
W0279,WO-00279,EQ-0029,2025-06-16,Planned,715.78,3.51,0
W0280,WO-00280,EQ-0113,2025-03-05,Planned,615.25,3.90,0
W0281,WO-00281,EQ-0040,2025-11-19,Corrective,971.10,5.71,1
W0282,WO-00282,EQ-0087,2025-03-08,Planned,337.31,3.77,0
W0283,WO-00283,EQ-0019,2025-02-12,Corrective,2266.76,5.34,1
W0284,WO-00284,EQ-0027,2025-06-09,Corrective,1727.98,6.76,1
W0285,WO-00285,EQ-0022,2025-02-24,Corrective,834.82,14.29,1
W0286,WO-00286,EQ-0154,2025-08-18,Planned,604.02,3.97,0
W0287,WO-00287,EQ-0091,2025-06-10,Planned,282.03,0.78,0
W0288,WO-00288,EQ-0088,2025-10-21,Planned,197.83,2.02,0
W0289,WO-00289,EQ-0021,2025-04-21,Corrective,3164.28,22.16,1
W0290,WO-00290,EQ-0071,2025-08-30,Planned,520.53,2.95,0
W0291,WO-00291,EQ-0046,2025-02-26,Planned,307.87,1.47,0
W0292,WO-00292,EQ-0135,2025-03-07,Corrective,2342.35,20.99,1
W0293,WO-00293,EQ-0098,2025-07-08,Planned,529.33,1.18,0
W0294,WO-00294,EQ-0119,2025-11-05,Corrective,2041.67,15.40,1
W0295,WO-00295,EQ-0077,2025-12-24,Planned,149.18,3.59,0
W0296,WO-00296,EQ-0173,2025-09-11,Planned,457.37,1.77,0
W0297,WO-00297,EQ-0156,2025-12-25,Planned,378.22,3.15,0
W0298,WO-00298,EQ-0082,2025-06-19,Planned,638.35,3.03,0
W0299,WO-00299,EQ-0040,2025-12-13,Corrective,2218.64,16.73,1
W0300,WO-00300,EQ-0019,2025-05-23,Planned,165.68,0.74,0
W0301,WO-00301,EQ-0091,2025-11-03,Corrective,3402.58,23.15,1
W0302,WO-00302,EQ-0012,2025-10-25,Planned,334.66,2.49,0
W0303,WO-00303,EQ-0077,2025-03-26,Planned,704.66,2.29,0
W0304,WO-00304,EQ-0030,2025-07-09,Planned,509.33,2.60,0
W0305,WO-00305,EQ-0026,2025-06-18,Planned,122.33,2.51,0
W0306,WO-00306,EQ-0075,2025-04-24,Planned,661.84,2.27,0
W0307,WO-00307,EQ-0126,2025-03-25,Planned,114.20,2.64,0
W0308,WO-00308,EQ-0099,2025-01-24,Planned,586.86,2.95,0
W0309,WO-00309,EQ-0003,2025-12-02,Corrective,2829.42,9.00,1
W0310,WO-00310,EQ-0073,2025-11-20,Planned,346.02,1.39,0
W0311,WO-00311,EQ-0055,2025-04-11,Planned,312.75,2.79,0
W0312,WO-00312,EQ-0146,2025-01-22,Planned,446.01,1.73,0
W0313,WO-00313,EQ-0050,2025-12-12,Planned,389.33,2.42,0
W0314,WO-00314,EQ-0045,2025-10-24,Planned,609.97,1.94,0
W0315,WO-00315,EQ-0098,2025-11-22,Planned,451.40,3.31,0
W0316,WO-00316,EQ-0060,2025-12-10,Planned,577.86,3.16,0
W0317,WO-00317,EQ-0165,2025-07-16,Corrective,1206.41,8.38,1
W0318,WO-00318,EQ-0085,2025-02-24,Corrective,2358.37,4.03,1
W0319,WO-00319,EQ-0067,2025-01-23,Corrective,2955.59,23.84,1
W0320,WO-00320,EQ-0017,2025-07-18,Planned,409.46,1.57,0
W0321,WO-00321,EQ-0020,2025-05-29,Planned,276.33,0.68,0
W0322,WO-00322,EQ-0005,2025-05-10,Corrective,2308.98,20.01,1
W0323,WO-00323,EQ-0155,2025-05-05,Corrective,1833.07,3.55,1
W0324,WO-00324,EQ-0167,2025-01-18,Planned,122.28,3.72,0
W0325,WO-00325,EQ-0071,2025-03-03,Planned,531.26,3.76,0
W0326,WO-00326,EQ-0091,2025-10-31,Corrective,614.33,19.21,1
W0327,WO-00327,EQ-0152,2025-09-16,Planned,125.80,1.40,0
W0328,WO-00328,EQ-0104,2025-02-08,Planned,720.62,2.11,0
W0329,WO-00329,EQ-0079,2025-02-16,Planned,361.52,3.71,0
W0330,WO-00330,EQ-0066,2025-05-13,Planned,625.22,0.73,0
W0331,WO-00331,EQ-0105,2025-10-04,Planned,476.03,3.08,0
W0332,WO-00332,EQ-0141,2025-04-09,Planned,540.00,2.65,0
W0333,WO-00333,EQ-0106,2025-03-22,Corrective,3313.87,21.47,1
W0334,WO-00334,EQ-0002,2025-03-28,Planned,179.28,2.88,0
W0335,WO-00335,EQ-0103,2025-11-23,Planned,264.65,1.57,0
W0336,WO-00336,EQ-0027,2025-04-16,Planned,253.89,2.60,0
W0337,WO-00337,EQ-0107,2025-12-03,Corrective,2896.26,16.98,1
W0338,WO-00338,EQ-0013,2025-04-12,Planned,482.48,3.72,0
W0339,WO-00339,EQ-0159,2025-06-07,Corrective,3370.09,3.10,1
W0340,WO-00340,EQ-0122,2025-07-16,Corrective,845.53,4.80,1
W0341,WO-00341,EQ-0082,2025-04-22,Planned,206.57,0.80,0
W0342,WO-00342,EQ-0131,2025-02-10,Corrective,2799.70,11.12,1
W0343,WO-00343,EQ-0077,2025-03-30,Planned,701.90,3.57,0
W0344,WO-00344,EQ-0098,2025-12-27,Planned,651.01,3.49,0
W0345,WO-00345,EQ-0150,2025-08-01,Planned,147.94,1.53,0
W0346,WO-00346,EQ-0156,2025-03-16,Corrective,1108.13,19.69,1
W0347,WO-00347,EQ-0020,2025-12-21,Corrective,2510.15,12.05,1
W0348,WO-00348,EQ-0062,2025-04-16,Corrective,1108.77,13.36,1
W0349,WO-00349,EQ-0069,2025-10-14,Planned,493.11,1.44,0
W0350,WO-00350,EQ-0131,2025-06-23,Planned,116.35,3.04,0
W0351,WO-00351,EQ-0049,2025-04-24,Planned,209.30,3.35,0
W0352,WO-00352,EQ-0149,2025-06-12,Planned,562.10,2.18,0
W0353,WO-00353,EQ-0017,2025-10-29,Corrective,1246.88,6.48,1
W0354,WO-00354,EQ-0022,2025-10-24,Corrective,2041.62,15.12,1
W0355,WO-00355,EQ-0160,2025-08-28,Planned,538.92,0.66,0
W0356,WO-00356,EQ-0139,2025-08-07,Planned,287.37,3.87,0
W0357,WO-00357,EQ-0108,2025-10-05,Planned,371.06,0.75,0
W0358,WO-00358,EQ-0145,2025-10-27,Planned,362.92,2.90,0
W0359,WO-00359,EQ-0056,2025-07-19,Corrective,745.91,17.10,1
